,mean,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,gender
10,1.2755571e-06,-306.49768,92.461174,-6.9047146,24.15336,-2.640517,9.648935,-14.0608015,-5.5909476,-6.42732,-2.4049132,-6.7224584,-1.5769005,-6.967546,-4.7722716,-7.7943144,1.1111454,-13.034457,-3.4900334,-5.037991,-7.8953524,-6.2846556,-3.46798,-8.854752,-3.4601169,-8.367791,-5.034605,-6.849019,-6.118698,-3.9626982,-2.8069642,-7.566287,-2.6349714,-4.6729245,-4.4823647,-5.3479347,-4.2168713,-4.321911,-3.958953,-5.7631125,-3.621019,-4.3505735,-3.9736753,-4.9017234,-4.3077936,-5.228091,-2.7696075,-5.0168123,-1.8514565,-5.676646,-3.2665443,1
11,-0.00013201543,-308.48428,126.90682,-16.297592,10.230924,-23.62168,9.371722,14.6530075,-6.793766,-26.994505,-3.433552,-15.185557,2.8097925,-3.66678,-0.13516857,-4.797717,5.1005006,1.5410478,2.3179994,-8.210531,-1.9717169,-1.7534236,-3.3663561,0.3954348,-0.6041218,-4.0516076,-0.42946678,-4.509368,-4.0583477,0.7939851,-0.30112633,-2.191864,1.5733676,-3.4066486,-4.1887846,1.1357257,1.5588325,0.6057266,4.947761,2.261187,4.098933,2.34082,-0.18904798,-1.8363986,5.147982,3.7902992,3.5771558,3.8682053,3.7812393,4.5938334,2.798387,1
12,-0.00010551775,-314.14542,64.83071,5.374228,38.29537,6.6359134,-3.8409188,-5.465844,0.25784594,-11.436673,3.59587,-5.213911,-6.0080504,-6.6409397,-2.0191534,-8.31116,-7.3035464,-3.0369089,-6.9284286,-4.2440004,-2.993386,-6.258639,-0.41927922,-10.516507,1.1590399,-5.0678997,3.0254173,-2.673947,1.9162629,0.9021853,7.5933785,-1.1041628,9.45054,3.84642,9.590845,5.2254677,3.6775422,0.54175496,1.6688831,-1.7030823,-0.31560746,-4.392539,-0.9294173,-4.7609963,-2.2886682,-4.0751176,-1.8691616,-3.7767377,-2.0791028,-3.4287665,-0.45342064,0
13,-5.1906504e-06,-297.35025,112.53034,-9.985989,19.202442,5.632249,3.414418,-18.593449,7.4640102,-22.83609,6.5794435,-14.182046,-7.039148,1.5273274,0.29688305,-0.106797576,-4.285493,-2.2810614,-0.92355466,-8.805673,-3.131328,-3.0824022,-4.6233473,-4.645528,-2.9489279,-8.249252,-0.40629277,-5.495165,-1.9748683,0.5392055,-0.09486418,-0.720386,3.001937,1.1597103,3.5639296,1.3114781,4.3082557,4.510386,5.471817,3.8408732,4.0341344,0.5173244,4.0215163,-0.57749635,1.3086808,2.8840203,3.2544181,1.6270846,2.7331328,1.0558641,2.893311,0
14,-3.3162836e-05,-363.8325,85.472496,12.278654,22.583801,11.150478,12.639052,5.741941,3.8743973,-4.7530875,-3.6411748,-2.5688589,-2.4438524,-2.2189584,6.002797,-4.326289,4.2827945,-5.8744326,2.213302,-3.0369003,-2.3256083,-4.913883,0.5889036,-0.6888114,-5.397288,-1.502648,-2.4230444,-4.713457,2.968806,0.03815733,1.8439095,-0.3214236,3.7769969,-1.351996,0.38334998,-3.002059,-1.4826497,-1.6742448,-0.6082642,-5.3511386,-4.2033286,-2.0222,-3.3306477,-3.2335832,-2.1066847,-2.7413733,0.42598733,-1.7329878,0.91986644,0.17877886,0.304492,1
15,5.2861253e-07,-224.3527,100.30852,7.2561784,38.05294,4.875504,11.877924,-4.1953044,5.2482743,-0.79065,4.242382,-11.384508,-2.6693635,-3.9002438,2.7040257,-0.8651579,3.8682594,-7.2189236,-0.5862286,-10.215065,5.085194,-13.33303,-1.2791783,-6.5964875,-6.488245,-2.7594132,-2.0797915,-6.202924,1.1411276,-5.558054,-0.23060273,-5.7791295,-1.7186456,-5.834212,-0.8793476,-7.5812283,-4.523869,-3.748965,-2.915946,-1.9748152,3.680748,2.0028944,5.772182,1.5834821,0.57936174,-1.0900195,-2.0361803,-1.3289298,-0.31144768,0.101480864,-0.15965989,1
16,-1.5220843e-06,-334.35184,102.88451,0.34104583,34.523716,12.136101,-3.4029243,8.464188,-9.64266,-14.271606,4.477322,-8.565642,1.4274518,-1.0130605,-2.1976655,-2.6352994,2.7016332,-7.238804,3.5494955,-6.626278,0.20583494,-4.333108,-2.8105621,-4.5905094,-7.784809,-3.056046,0.8340244,-4.9674935,-3.3122404,-4.3270707,-2.1061814,-5.553021,-0.041483756,-1.6894097,-2.5597339,-2.8277702,1.184427,0.30556118,-2.9377391,-5.7323885,-1.9963629,-2.2855234,-2.2001538,-4.192401,-1.4502617,-5.471623,-3.1996095,-3.5577357,0.7559435,-3.4040315,-0.682412,1
17,6.461292e-05,-358.47385,106.23685,-51.633244,30.762058,-12.083643,-19.66069,-9.131972,-28.085037,-1.0406128,-1.8296602,-10.884447,-0.85462314,-10.904943,-2.471461,-14.112451,-2.2406166,-9.132363,-3.6348991,-5.94971,-0.49073377,-7.1184897,-3.1258633,-1.2780986,-0.1763916,0.2542108,3.233274,3.9623244,6.3459105,7.6596613,10.603335,10.486731,10.406075,10.225305,9.995478,6.5364137,6.393824,2.7458353,5.187311,4.036317,3.6115434,0.11051151,2.526336,0.3476605,0.7112667,1.0399565,2.0578926,1.6640015,0.5830649,0.9335704,1.0658777,0
18,1.3650522e-06,-294.6577,95.050186,4.0885863,5.340548,6.08817,3.496666,-23.065788,-11.283588,-16.14013,-3.1118987,-16.113323,-12.218341,-2.2242122,-15.092619,-8.143311,-1.1762657,-14.136841,-1.2105601,-6.5873404,-12.497521,-5.585245,0.6484302,-9.174286,-1.6172996,-8.215146,-2.4329917,-9.499175,-5.5031796,-0.8577805,0.6717389,-5.003716,8.488564,6.8144736,12.507186,8.460692,11.715311,0.75593394,0.6854009,2.2402349,1.312042,-2.0251186,1.7351261,-2.455428,-1.3956996,-0.61720645,3.3633983,-2.716737,1.250311,-1.387473,-2.386694,1
19,2.3433031e-05,-240.42119,46.70164,43.63755,20.482096,-8.299778,27.335493,-18.223602,9.40452,-16.96111,8.16496,-4.1047173,10.870014,-5.2565737,4.423121,-0.21023552,1.8260217,-6.0726767,2.4748905,-3.158498,-3.8412063,-3.9848607,2.9547622,-5.372833,0.4268438,-5.3216047,-1.4723197,-5.0766735,-2.2965856,-4.317201,-1.6940421,-7.0376077,-0.9104358,-4.9410315,0.26149556,-3.7949183,-0.49958327,-2.213911,0.41168892,-3.880973,0.14825298,-2.5968392,-0.0631984,-3.1846762,-0.6985514,-4.913501,-0.11330882,-2.352623,2.2269044,1.2315567,2.3054461,1
